Scientific.name,Abbreviation,SOURCEDB,Common.name,Taxon.ID,No.LR
Callithrix jacchus,Cja,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Marmoset,9483,8350
Sus scrofa,Ssc,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|SWISSPROT_STRING|TREMBL_STRING,Pig,9823,7634
Equus caballus,Eca,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Horse,9796,7172
Danio rerio,Dre,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|NCBI_DLRP|NCBI_IUPHAR|NCBI_HPMR|NCBI_CELLPHONEDB|NCBI_SINGLECELLSIGNALR|SWISSPROT_STRING|TREMBL_STRING,Zebrafish,7955,6601
Xenopus tropicalis,Xtr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|NCBI_DLRP|NCBI_IUPHAR|NCBI_HPMR|NCBI_CELLPHONEDB|NCBI_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR|TREMBL_STRING,Tropical clawed frog,8364,6205
Monodelphis domestica,Mdo,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Gray short-tailed opossum,13616,5263
Gallus gallus,Gga,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|NCBI_DLRP|NCBI_IUPHAR|NCBI_HPMR|NCBI_CELLPHONEDB|NCBI_SINGLECELLSIGNALR|SWISSPROT_STRING|TREMBL_STRING,Chicken,9031,5029
Cavia porcellus,Cpo,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Guinea pig,10141,4715
Macaca nemestrina,Mne,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Pig-tailed macaque,9545,4669
Rhinopithecus bieti,Rbi,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Black snub-nosed monkey,61621,4516
Ornithorhynchus anatinus,Oan,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Platypus,9258,4466
Pan paniscus,Ppa,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Bonobo,9597,4431
Papio anubis,Pan,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Olive baboon,9555,4334
Oryctolagus cuniculus,Ocu,RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Rabbit,9986,4323
Microcebus murinus,Mmr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Mouse Lemur,30608,4284
Bos indicus x Bos taurus,Bit,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Hybrid - Bos Indicus,30522,4283
Capra hircus,Chi,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Goat,9925,4264
Mandrillus leucophaeus,Mle,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Drill,9568,4263
Aotus nancymaae,Ann,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Ma's night monkey,37293,4261
Taeniopygia guttata,Tgu,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Zebra finch,59729,4244
Ictidomys tridecemlineatus,Itr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Squirrel,43179,4237
Panthera pardus,Ppr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Leopard,9691,4162
Microtus ochrogaster,Moc,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Prairie vole,79684,4120
Chinchilla lanigera,Cla,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Long-tailed chinchilla,34839,4105
Felis catus,Fca,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Cat,9685,4102
Nannospalax galili,Nga,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Upper Galilee mountains blind mole rat,1026970,4070
Loxodonta africana,Laf,ENSEMBL_HPMR|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Elephant,9785,4010
Canis lupus dingo,Cld,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Dingo,286419,3998
Bos mutus,Bmu,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Wild yak,72004,3861
Oreochromis niloticus,Oni,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Nile tilapia,8128,3849
Propithecus coquereli,Pco,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Coquerel's sifaka,379532,3811
Marmota marmota marmota,Mmm,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Alpine marmot,9994,3726
Mus pahari,Mpa,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Shrew mouse,10093,3702
Jaculus jaculus,Jja,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Lesser Egyptian jerboa,51337,3668
Drosophila melanogaster,Dme,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|NCBI_DLRP|NCBI_HPMR|NCBI_SINGLECELLSIGNALR|SWISSPROT_STRING|TREMBL_STRING,Fruit fly,7227,3595
Vulpes vulpes,Vvu,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Red fox,9627,3575
Anolis carolinensis,Aca,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Anole lizard,28377,3558
Rhinopithecus roxellana,Rro,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Golden snub-nosed monkey,61622,3493
Bison bison bison,Bbb,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,American bison,43346,3461
Dipodomys ordii,Dor,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Kangaroo rat,10020,3341
Mesocricetus auratus,Mau,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Golden Hamster,10036,3071
Carlito syrichta,Csy,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Tarsier,1868482,3060
Ursus maritimus,Uma,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Polar bear,29073,2865
Mus caroli,Mca,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Ryukyu mouse,10089,2860
Larimichthys crocea,Lcr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Large yellow croaker,215358,2821
Pygocentrus nattereri,Pna,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Red-bellied piranha,42514,2816
Coturnix japonica,Cjp,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Japanese quail,93934,2760
Ictalurus punctatus,Ipu,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Channel catfish,7998,2723
Meleagris gallopavo,Mga,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Turkey,9103,2699
Mastacembelus armatus,Mar,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Zig-zag eel,205130,2687
Haplochromis burtoni,Hbu,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Burton's mouthbrooder,8153,2677
Seriola lalandi dorsalis,Sld,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Yellowtail amberjack,1841481,2658
Seriola dumerili,Sdu,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Greater amberjack,41447,2648
Salmo salar,Ssa,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Atlantic salmon,8030,2625
Maylandia zebra,Mze,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Zebra mbuna,106582,2618
Denticeps clupeoides,Dcl,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Denticle herring,299321,2513
Octodon degus,Ode,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Degu,10160,2496
Pundamilia nyererei,Pny,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Makobe Island cichlid,303518,2488
Labrus bergylta,Lbe,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Ballan wrasse,56723,2436
Cottoperca gobio,Cgo,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Channel bull blenny,56716,2417
Sarcophilus harrisii,Sha,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Tasmanian devil,9305,2410
Poecilia reticulata,Pre,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Guppy,8081,2400
Fundulus heteroclitus,Fhe,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Mummichog,8078,2361
Erpetoichthys calabaricus,Ecl,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Reedfish,27687,2347
Cyprinodon variegatus,Cva,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Sheepshead minnow,28743,2346
Cricetulus griseus,Cgr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Chinese hamster CHOK1GS,10029,2308
Poecilia latipinna,Pla,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Sailfin molly,48699,2160
Peromyscus maniculatus bairdii,Pmb,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Northern American deer mouse,230844,2129
Hippocampus comes,Hco,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Tiger tail seahorse,109280,2109
Crocodylus porosus,Cpr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Australian saltwater crocodile,8502,2058
Cynoglossus semilaevis,Cse,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Tongue sole,244447,1994
Astatotilapia calliptera,Acl,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Eastern happy,8154,1987
Latimeria chalumnae,Lch,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Coelacanth,7897,1947
Sparus aurata,Sau,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Gilthead seabream,8175,1934
Oryzias melastigma,Ome,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Indian medaka,30732,1933
Anabas testudineus,Ate,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Climbing perch,64144,1914
Takifugu rubripes,Tru,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Fugu,31033,1748
Scleropages formosus,Sfo,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Asian bonytongue,113540,1727
Lepisosteus oculatus,Loc,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Spotted gar,7918,1685
Strigops habroptila,Shb,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Kakapo,2489341,1671
Heterocephalus glaber,Hgl,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Naked mole-rat female,10181,1628
Electrophorus electricus,Eel,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Electric eel,8005,1614
Macaca fascicularis,Mfa,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Crab-eating macaque,9541,1555
Poecilia formosa,Pfo,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Amazon molly,48698,1527
Aquila chrysaetos chrysaetos,Acc,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Golden eagle,223781,1464
Lates calcarifer,Lca,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Barramundi perch,8187,1458
Chlorocebus sabaeus,Csa,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Green monkey,60711,1456
Astyanax mexicanus,Amx,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Mexican tetra,7994,1440
Pelodiscus sinensis,Psi,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Chinese softshell turtle,13735,1368
Serinus canaria,Sca,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Common canary,9135,1304
Arabidopsis thaliana,Ath,SWISSPROT_STRING|TREMBL_STRING,Thale cress,3702,1108
Gadus morhua,Gmo,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Cod,8049,1068
Camelus dromedarius,Cdr,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Arabian camel,9838,1067
Dasypus novemcinctus,Dno,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Armadillo,9361,1013
Ficedula albicollis,Fal,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Flycatcher,59894,806
Myripristis murdjan,Mmd,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Pinecone soldierfish,586833,678
Caenorhabditis elegans,Cel,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|SWISSPROT_STRING|TREMBL_STRING,Worm,6239,403
Clupea harengus,Cha,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR,Atlantic herring,7950,399
Ciona intestinalis,Cin,ENSEMBL_DLRP|ENSEMBL_IUPHAR|ENSEMBL_HPMR|ENSEMBL_CELLPHONEDB|ENSEMBL_SINGLECELLSIGNALR|RBBH_DLRP|RBBH_IUPHAR|RBBH_HPMR|RBBH_CELLPHONEDB|RBBH_SINGLECELLSIGNALR,Sea squirt,7719,272
